Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases,NewColumn
12-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,1,0,0,0,0,0,4248188.0,235939.0,7170.0,14340.0
12-03-2020,Union Territory of Ladakh,34.2996,78.2932,3,0,0,1,0,0,2034606.0,300761.0,634.0,1268.0
12-03-2020,Uttar Pradesh,26.8467,80.9462,11,0,0,2,0,0,430995.0,59370.0,3473.0,6946.0
13-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,578807.0,82703.0,548.0,1096.0
13-03-2020,Delhi,28.7041,77.1025,6,0,0,0,0,0,59274648.0,4409159.0,31102.0,62204.0
13-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,2213831.0,163687.0,15498.0,30996.0
13-03-2020,Karnataka,15.3173,75.7139,5,1,0,1,0,0,675008.0,30088.0,182.0,364.0
13-03-2020,Kerala,10.8505,76.2711,17,0,3,0,0,0,1904970.0,90076.0,2719.0,5438.0
13-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,828928.0,104.0,152223.0,304446.0
13-03-2020,Rajasthan,27.0238,74.2179,3,0,0,0,0,0,816126.0,57708.0,150.0,300.0
13-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,358675.0,36183.0,664.0,1328.0
13-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,176919.0,2964.0,34212.0,68424.0
13-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,1,0,0,0,0,0,15855490.0,5044893.0,376294.0,752588.0
13-03-2020,Uttar Pradesh,26.8467,80.9462,11,0,0,0,0,0,3216305.0,504142.0,1355.0,2710.0
14-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,54960.0,11866.0,84.0,168.0
14-03-2020,Delhi,28.7041,77.1025,7,1,1,1,0,1,4030048.0,313256.0,154450.0,308900.0
14-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,2465201.0,232955.0,603.0,1206.0
14-03-2020,Karnataka,15.3173,75.7139,6,1,0,1,0,0,11238.0,390.0,355.0,710.0
14-03-2020,Kerala,10.8505,76.2711,19,0,3,2,0,0,11237010.0,1149054.0,670.0,1340.0
14-03-2020,Maharashtra,19.7515,75.7139,14,0,0,3,0,0,1319772.0,223190.0,102.0,204.0
14-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,8083326.0,592089.0,1617.0,3234.0
14-03-2020,Rajasthan,27.0238,74.2179,3,0,1,0,0,1,1018783.0,153662.0,2384.0,4768.0
14-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,5669140.0,966904.0,142.0,284.0
14-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,2,0,0,1,0,0,21107399.0,7989151.0,55673.0,111346.0
14-03-2020,Union Territory of Ladakh,34.2996,78.2932,3,0,0,0,0,0,98964.0,60339.0,398.0,796.0
14-03-2020,Uttar Pradesh,26.8467,80.9462,12,0,5,1,0,5,7127584.0,989005.0,53755.0,107510.0
15-03-2020,Andhra Pradesh,15.9129,79.74,1,0,0,0,0,0,,4225.0,14041.0,28082.0
15-03-2020,Delhi,28.7041,77.1025,7,1,2,0,0,1,253043.0,8579.0,124.0,248.0
15-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,5114703.0,249943.0,2773.0,5546.0
15-03-2020,Maharashtra,19.7515,75.7139,32,0,0,18,0,0,25000000.0,384592.0,556.0,1112.0
15-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,28350449.0,1494141.0,4732.0,9464.0
15-03-2020,Rajasthan,27.0238,74.2179,4,0,3,1,0,2,49264.0,4166.0,707.0,1414.0
15-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,6019923.0,773421.0,24653.0,49306.0
15-03-2020,Telengana,18.1124,79.0193,3,0,1,2,0,1,249149.0,43200.0,25.0,50.0
15-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,2,0,0,0,0,0,2633737.0,624673.0,6173.0,12346.0
15-03-2020,Uttar Pradesh,26.8467,80.9462,13,0,4,1,0,-1,29827732.0,3624459.0,3008.0,6016.0
15-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,36224215.0,5335112.0,552117.0,1104234.0
16-03-2020,Delhi,28.7041,77.1025,7,1,2,0,0,0,3487616.0,364474.0,1028.0,2056.0
16-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,1603660.0,395430.0,9788.0,19576.0
16-03-2020,Kerala,10.8505,76.2711,23,0,3,0,0,0,273400000.0,17647179.0,235444.0,470888.0
16-03-2020,Maharashtra,19.7515,75.7139,32,0,0,0,0,0,5343203.0,45522.0,82926.0,165852.0
16-03-2020,Rajasthan,27.0238,74.2179,4,0,3,0,0,0,70707.0,5547.0,15.0,30.0
16-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,143281.0,23277.0,622.0,1244.0
16-03-2020,Telengana,18.1124,79.0193,3,0,1,0,0,0,112382.0,1399.0,9140.0,18280.0
16-03-2020,Union Territory of Jammu and Kashmir,33.7782,76.5762,3,0,0,1,0,0,23687.0,2449.0,289.0,578.0
16-03-2020,Union Territory of Ladakh,34.2996,78.2932,4,0,0,1,0,0,99138.0,6641.0,52.0,104.0
16-03-2020,Uttar Pradesh,26.8467,80.9462,13,0,4,0,0,0,85921.0,1605.0,9684.0,19368.0
16-03-2020,Uttarakhand,30.0668,79.0193,1,0,0,0,0,0,152231.0,16454.0,283.0,566.0
17-03-2020,Delhi,28.7041,77.1025,8,1,2,1,0,0,42144668.0,743921.0,6189.0,12378.0
17-03-2020,Haryana,29.0588,76.0856,15,0,0,1,0,0,1081824.0,84059.0,14.0,28.0
17-03-2020,Karnataka,15.3173,75.7139,11,1,0,5,0,0,9596815.0,1988209.0,8578.0,17156.0
17-03-2020,Kerala,10.8505,76.2711,26,0,3,3,0,0,,42553.0,515.0,1030.0
17-03-2020,Odisha,20.9517,85.0985,1,0,0,0,0,0,23767171.0,1162140.0,76731.0,153462.0
17-03-2020,Punjab,31.1471,75.3412,1,0,0,0,0,0,62056.0,9985.0,52.0,104.0
