Date,High,Low,Open,Close,Volume,Symbol
29-09-2020,263.33,256.9,257.81,261.79,20200200,Facebook
30-09-2020,266.08,260.1,261.98,261.9,20142500,Facebook
1/10/2020,268.33,264.8,265.35,266.63,20009800,Facebook
2/10/2020,265.15,259.18,261.21,259.94,16367600,Facebook
5/10/2020,264.87,260.84,262.2,264.65,12822300,Facebook
6/10/2020,265.69,258.24,261.78,258.66,18696900,Facebook
7/10/2020,260.18,254.82,259.21,258.12,23133400,Facebook
8/10/2020,264.62,259.15,259.75,263.76,16312800,Facebook
9/10/2020,264.75,262.17,264.52,264.45,14107800,Facebook
12/10/2020,280.18,267.87,270.2,275.75,31019300,Facebook
13-10-2020,279.1,273.39,277.58,276.14,18063300,Facebook
14-10-2020,278.75,271.5,277.62,271.82,15577800,Facebook
15-10-2020,269.04,263.67,267.6,266.72,15416100,Facebook
16-10-2020,271.37,265.3,267.38,265.93,16622700,Facebook
19-10-2020,268.55,259.88,265.53,261.4,13587000,Facebook
20-10-2020,269.7,262.88,263.06,267.56,18763200,Facebook
21-10-2020,283.05,276.37,279.56,278.73,28998600,Facebook
22-10-2020,282.45,275.04,279.87,278.12,16720000,Facebook
23-10-2020,285.24,276.82,278.8,284.79,17535200,Facebook
26-10-2020,285.23,274.26,283.16,277.11,21322900,Facebook
27-10-2020,284.51,276.31,278.76,283.29,16287200,Facebook
28-10-2020,278.79,267.26,278.79,267.67,23121800,Facebook
29-10-2020,283.6,273.78,276.55,280.83,32368100,Facebook
30-10-2020,276.7,259.1,274.5,263.11,47247800,Facebook
2/11/2020,270.47,257.34,264.6,261.36,27165700,Facebook
3/11/2020,270.05,260.88,263.16,265.3,17961900,Facebook
4/11/2020,288.94,278.62,281,287.38,35364400,Facebook
5/11/2020,297.38,288.95,291.9,294.68,23823600,Facebook
6/11/2020,294.6,288.06,293.95,293.41,13891000,Facebook
9/11/2020,292.58,278.53,289.87,278.77,25117700,Facebook
10/11/2020,274,264,273.1,272.43,29067700,Facebook
11/11/2020,278.4,272.48,273.47,276.48,14957000,Facebook
12/11/2020,279.75,274.43,277.18,275.08,12899500,Facebook
13-11-2020,277.76,273.1,277.72,276.95,10391200,Facebook
16-11-2020,279.41,274.63,275.05,278.96,12970400,Facebook
17-11-2020,277.68,273.29,277.68,275,15040300,Facebook
18-11-2020,277.39,271.84,274.52,271.97,12152900,Facebook
19-11-2020,273.47,269.19,271.02,272.94,12963700,Facebook
20-11-2020,273,269.41,272.56,269.7,18114700,Facebook
23-11-2020,270.95,264.53,270.89,268.43,20990800,Facebook
24-11-2020,277.82,267.87,268.49,276.92,16930400,Facebook
25-11-2020,280.18,272.65,278.14,275.59,12467000,Facebook
27-11-2020,279.13,274.82,277.39,277.81,7808400,Facebook
30-11-2020,277.7,271.01,276.03,276.97,16693300,Facebook
1/12/2020,289.3,278.96,279.16,286.55,20738900,Facebook
2/12/2020,291.78,280.83,285.36,287.52,17361600,Facebook
3/12/2020,286.65,281.07,286.25,281.85,12921700,Facebook
4/12/2020,283.46,279.3,280.3,279.7,10880300,Facebook
7/12/2020,288.49,278.2,279.19,285.58,13007700,Facebook
8/12/2020,286.43,281.55,286.01,283.4,10747700,Facebook
9/12/2020,287.63,271.75,283.66,277.92,25189700,Facebook
10/12/2020,278.73,271.86,275.54,277.12,20065100,Facebook
11/12/2020,276.48,270.25,274.53,273.55,14391400,Facebook
14-12-2020,277.22,271.56,273.37,274.19,16376900,Facebook
15-12-2020,276.08,267.47,274.83,275.55,23979500,Facebook
16-12-2020,277.86,272.51,274.76,275.67,15885000,Facebook
17-12-2020,280.44,273.61,277.07,274.48,16377800,Facebook
18-12-2020,278,271.14,275.77,276.4,26693200,Facebook
21-12-2020,274.67,267.79,272.98,272.79,16553700,Facebook
22-12-2020,271.5,264.63,271.5,267.09,17312900,Facebook
23-12-2020,272.17,266.23,266.89,268.11,14329000,Facebook
24-12-2020,270.4,266.2,268.88,267.4,6702000,Facebook
28-12-2020,277.3,265.66,268.74,277,23299700,Facebook
29-12-2020,280.51,276.28,276.95,276.78,16383000,Facebook
30-12-2020,278.08,271.71,277.95,271.87,11803800,Facebook
31-12-2020,277.09,269.81,272,273.16,12900400,Facebook
4/1/2021,275,265.2,274.78,268.94,15106100,Facebook
5/1/2021,272.4,268.21,268.29,270.97,9871600,Facebook
6/1/2021,267.75,260.01,262,263.31,24354100,Facebook
7/1/2021,271.61,264.78,265.9,268.74,15789800,Facebook
8/1/2021,268.95,263.18,268.31,267.57,18528300,Facebook
11/1/2021,263.47,255.9,260.48,256.84,30412300,Facebook
12/1/2021,259.72,250.3,256.63,251.09,26383500,Facebook
