Date,Open,High,Low,Close,Volume,Symbol
27/07/2020,100.1500015,102.6800003,100.1500015,102.0899963,1038200,INCY
28/07/2020,101.7600021,102.3199997,100.1999969,100.6100006,732200,INCY
29/07/2020,101.0899963,101.5500031,97.80000305,98.04000092,986300,INCY
30/07/2020,97.31999969,100.9700012,97.12999725,100.5100021,1431000,INCY
31/07/2020,100.3899994,101.1500015,98.05999756,98.76000214,1115400,INCY
3/8/2020,100.9499969,102.6100006,98.90000153,101.7900009,1942800,INCY
4/8/2020,101,101.9599991,96.88999939,99.94999695,1977700,INCY
5/8/2020,100,101,96.25,97.62000275,1390000,INCY
6/8/2020,97.80000305,98.5,96.91999817,97.25,964200,INCY
7/8/2020,97.25,98.34999847,95.93000031,96.93000031,760500,INCY
10/8/2020,96.76000214,97.16000366,92.94000244,94.31999969,1208100,INCY
11/8/2020,94.12000275,95.05999756,92.83999634,92.98000336,1571300,INCY
12/8/2020,93.05000305,94.80000305,93.01000214,94.22000122,739000,INCY
13/08/2020,94.58999634,95.58999634,94.27999878,95.55999756,513100,INCY
14/08/2020,95.62000275,96.41999817,94.27999878,94.87000275,900700,INCY
17/08/2020,95.30000305,97.80000305,95.30000305,97.48000336,1058600,INCY
18/08/2020,97.51000214,97.97000122,96.15000153,97.55999756,962700,INCY
19/08/2020,96.95999908,98.19999695,96.16000366,96.26999664,1208300,INCY
20/08/2020,96.05000305,96.09999847,94.48000336,95.52999878,921600,INCY
21/08/2020,95.5,95.69000244,93.34999847,94.11000061,2559600,INCY
24/08/2020,94.55999756,94.94999695,92.94000244,94.04000092,849600,INCY
25/08/2020,94.04000092,95.45999908,93.59999847,95.30999756,583900,INCY
26/08/2020,94.01999664,94.93000031,92.93000031,93.75,687700,INCY
27/08/2020,94.41000366,95.48999786,93.5,94.30000305,744100,INCY
28/08/2020,94.12999725,94.55999756,93.55999756,93.90000153,675700,INCY
31/08/2020,93.79000092,96.76000214,93.5,96.34999847,876500,INCY
1/9/2020,95.62000275,95.95999908,92.26000214,92.97000122,980400,INCY
2/9/2020,93.08999634,95.51000214,92.76999664,95.44000244,807200,INCY
3/9/2020,95.98000336,95.98000336,90.61000061,91.56999969,1515300,INCY
4/9/2020,91.62999725,91.66000366,88.90000153,90.48999786,962500,INCY
8/9/2020,88.94000244,91.30999756,88.68000031,89.73000336,1093100,INCY
9/9/2020,90.19999695,92.08999634,89.08999634,91.51000214,1078000,INCY
10/9/2020,90.83000183,91.94999695,88,88.26000214,900100,INCY
11/9/2020,89.04000092,90.34999847,87.41000366,88,803400,INCY
14/09/2020,91,94.55000305,90.05000305,93.15000153,1429100,INCY
15/09/2020,93.5,93.69999695,90.98999786,91.43000031,857500,INCY
16/09/2020,92.59999847,92.98999786,89.84999847,89.94000244,1059100,INCY
17/09/2020,86.62000275,91.11000061,86.5,90.41999817,1392700,INCY
18/09/2020,90.76000214,91,85.65000153,86.79000092,3301700,INCY
21/09/2020,86.37000275,86.77999878,84.80999756,85.38999939,1472200,INCY
22/09/2020,85.87999725,87.08999634,84.90000153,86.93000031,954400,INCY
23/09/2020,86.69999695,87.91000366,85.76999664,85.97000122,935700,INCY
24/09/2020,84.98999786,85.30999756,82.98000336,85.06999969,1035700,INCY
25/09/2020,84.68000031,87.34999847,84.05999756,86.55000305,1378100,INCY
28/09/2020,87.70999908,90.44999695,87.37000275,90.36000061,1445300,INCY
29/09/2020,90.22000122,90.48000336,87.26000214,87.43000031,1136900,INCY
30/09/2020,87.87000275,90.79000092,87.87000275,89.73999786,1333600,INCY
1/10/2020,90.09999847,93.08000183,89.98000336,92.43000031,1280500,INCY
2/10/2020,91.19000244,91.91000366,87.25,88.75,1261300,INCY
5/10/2020,89.26000214,92.44999695,89.26000214,92.30000305,1095700,INCY
6/10/2020,91.97000122,92.33999634,88.31999969,88.59999847,1094100,INCY
7/10/2020,89.68000031,91.18000031,88.62000275,90.44999695,925300,INCY
8/10/2020,90.70999908,93.22000122,90.08999634,92.77999878,1127000,INCY
9/10/2020,92.98999786,96.77999878,92.59999847,95.73999786,1583900,INCY
12/10/2020,97.02999878,98.47000122,95.58000183,97.69999695,1240200,INCY
13/10/2020,97.26000214,98.12000275,96.08999634,97.08000183,1033300,INCY
14/10/2020,94.43000031,97.41999817,93.23999786,93.34999847,1086000,INCY
15/10/2020,91.30000305,92.87999725,90.22000122,90.52999878,884200,INCY
16/10/2020,91.11000061,92.41000366,90.30000305,90.62999725,1084100,INCY
19/10/2020,91.04000092,91.29000092,86.90000153,87.76000214,1037300,INCY
20/10/2020,88.62000275,89.88999939,87.76999664,89.30999756,922600,INCY
21/10/2020,89.09999847,89.83999634,88.29000092,88.59999847,678900,INCY
22/10/2020,88.91999817,90.66999817,88.47000122,90.48999786,660600,INCY
23/10/2020,90.81999969,91.11000061,89.19000244,89.69000244,652000,INCY
26/10/2020,88.81999969,90.48999786,88.55999756,90.44000244,652100,INCY
27/10/2020,90.16999817,90.91999817,88.26000214,88.34999847,771000,INCY
